date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:00	61936/61936	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202022%2010:54:18%20GMT	https://pixner.net/paylio/paylio-v2/index.html	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/index.html	(from )
09:12:00	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jul%202023%2005:12:01%20GMT	https://pixner.net/robots.txt		(from )
09:12:00	336/336	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Aug%202021%2012:05:10%20GMT	https://pixner.net/paylio/paylio-v2/assets/img/fav.png	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/img/fav.png	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:01	163872/163872	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Apr%202022%2023:57:22%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/bootstrap.min.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/bootstrap.min.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:01	59345/59345	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Aug%202021%2010:23:24%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/fontawesome.min.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/fontawesome.min.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:01	4007/4007	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2012:29:54%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/plugin/nice-select.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/plugin/nice-select.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:01	1776/1776	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2014:30:30%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/plugin/slick.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/plugin/slick.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:01	897/897	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Sep%202021%2005:12:56%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/custom-family.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/custom-family.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:02	6950/6950	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Aug%202021%2009:10:58%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/plugin/magnific-popup.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/plugin/magnific-popup.css	(from https://pixner.net/paylio/paylio-v2/index.html)
09:12:02	57095/57095	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jul%202021%2009:32:28%20GMT	https://pixner.net/paylio/paylio-v2/assets/css/plugin/animate.css	F:/WinHTTrack/Banking%20Fron%202/pixner.net/paylio/paylio-v2/assets/css/plugin/animate.css	(from https://pixner.net/paylio/paylio-v2/index.html)
